Macrotrends Data Download

CME Japanese Yen JPY Futures #1 (JY1)

All contracts are Front Month | Calendar-Weighted Adjusted Prices,
Roll on First of Month | Continuous Contract History.

Disclaimer and Terms of Use: Historical data is provided "as is" and solely
for informational purposes - not for trading purposes or advice.
Neither MacroTrends LLC nor any of our information providers will be liable
for any damages relating to your use of the data provided.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
1977-06-23,3676.0000
1977-06-24,3686.0000
1977-06-27,3684.0000
1977-06-28,3694.0000
1977-06-29,3739.0000
1977-06-30,3734.0000
1977-07-01,3748.0000
1977-07-05,3767.0000
1977-07-06,3771.0000
1977-07-07,3787.0000
1977-07-08,3784.0000
1977-07-11,3802.0000
1977-07-12,3790.0000
1977-07-13,3781.0000
1977-07-15,3769.0000
1977-07-18,3795.0000
1977-07-19,3786.0000
1977-07-20,3780.0000
1977-07-21,3776.0000
1977-07-22,3792.0000
1977-07-25,3787.0000
1977-07-26,3783.0000
1977-07-27,3775.0000
1977-07-28,3753.0000
1977-07-29,3750.0000
1977-08-01,3749.0000
1977-08-02,3760.0000
1977-08-03,3764.0000
1977-08-04,3764.0000
1977-08-05,3762.0000
1977-08-08,3757.0000
1977-08-09,3760.0000
1977-08-10,3756.0000
1977-08-11,3756.0000
1977-08-12,3753.0000
1977-08-15,3729.0000
1977-08-16,3747.0000
1977-08-17,3748.0000
1977-08-18,3753.0000
1977-08-19,3743.0000
1977-08-22,3750.0000
1977-08-23,3752.0000
1977-08-24,3764.0000
1977-08-25,3748.0000
1977-08-26,3748.0000
1977-08-29,3750.0000
1977-08-30,3749.0000
1977-08-31,3747.0000
1977-09-01,3739.0000
1977-09-02,3742.0000
1977-09-06,3749.0000
1977-09-07,3759.0000
1977-09-08,3758.0000
1977-09-09,3764.0000
1977-09-12,3766.0000
1977-09-13,3764.0000
1977-09-14,3761.0000
1977-09-15,3756.0000
1977-09-16,3759.0000
1977-09-19,3760.0000
1977-09-20,3764.0000
1977-09-21,3764.0000
1977-09-22,3765.0000
1977-09-23,3765.0000
1977-09-26,3767.0000
1977-09-27,3769.0000
1977-09-28,3770.0000
1977-09-29,3795.0000
1977-09-30,3830.0000
1977-10-03,3873.0000
1977-10-04,3834.0000
1977-10-05,3856.0000
1977-10-06,3887.0000
1977-10-07,3905.0000
1977-10-10,3924.0000
1977-10-11,3906.0000
1977-10-12,3927.0000
1977-10-13,3953.0000
1977-10-14,3993.0000
1977-10-17,3976.0000
